Symbol,Name,Closed Date,Quantity,Sell Price,Cost Basis (CB)
GRYP,GRYPHON DIGITAL MNG,02/27/2024,1,$2.52,$0.28
LYT,LYTUS TECHNOLOGIES H,02/27/2024,1,$2.81,$0.05
PHUN,PHUNWARE INC,02/27/2024,1,$7.88,$0.16
SISI,SHINECO INC,02/27/2024,1,$1.19,$0.13
SGLY,SINGULARITY FUTURE T,02/27/2024,1,$2.58,$0.63
ATNF,180 LIFE SCIENCES CO,03/01/2024,1,$3.37,$0.21
CJJD,CHINA JOJO DRUGSTORE,03/01/2024,1,$2.99,$0.18
RETO,RETO ECO SOLUTIONS I,03/01/2024,1,$2.43,$0.36
BTTR,BETTER CHOICE CO INC,03/22/2024,1,$6.60,$0.17
LMFA,L M FUNDING AMERICA,03/22/2024,1,$2.70,$0.53
MLGO,MICROALGO INC,03/22/2024,1,$3.91,$0.43
MBRX,MOLECULIN BIOTECH IN,03/22/2024,1,$5.79,$0.47
XTIA,XTI AEROSPACE INC,03/22/2024,1,$2.13,$0.06
ZCMD,ZHONGCHAO INC A,03/22/2024,1,$1.59,$0.36
AWIN,AERWINS TECHNOLOGIES,04/04/2024,1,$5.04,$0.07
CISO,CISO GLOBAL INC,04/04/2024,1,$1.27,$0.09
EDBL,EDIBLE GARDEN AG INC,04/04/2024,1,$0.44,$0.43
NRXP,NRX PHARMACEUTICALS,04/04/2024,1,$5.03,$0.49
DCFC,TRITIUM DCFC LTD,04/04/2024,1,$7.62,$0.05
UCAR,U POWER LTD,04/04/2024,1,$6.10,$0.05
EMKR,EMCORE CORP,04/08/2024,1,$3.23,$0.34
TCON,TRACON PHARMACEUTL,04/11/2024,1,$2.92,$0.18
MI,NFT LTD A,04/23/2024,1,$3.83,$0.15
CTHR,CHARLES & COLVARD,05/17/2024,1,$2.55,$0.30
VINO,GAUCHO GROUP HLDGS I,05/17/2024,1,$4.38,$0.63
GSUN,GOLDEN SUN HEALTH TE A,05/17/2024,1,$4.97,$0.49
HSCS,HEART TEST LABORATOR,05/17/2024,1,$6.84,$0.13
NUTX,NUTEX HEALTH INC,05/17/2024,1,$0.71,$0.08
RCON,RECON TECHNOLOGY LTD A,05/17/2024,1,$1.68,$0.10
SMFL,SMART FOR LIFE INC,05/17/2024,1,$3.06,$0.48
SOPA,SOCIETY PASS INC EQUITY,05/17/2024,1,$1.81,$0.12
WINT,WINDTREE THERAPEUTIC,05/17/2024,1,$4.41,$0.35
ZAPP,ZAPP ELECTRIC VEHS G,05/17/2024,1,$1.31,$0.15
ZVSA,ZYVERSA THERAPEUTICS EQUITY,05/17/2024,1,$4.60,$0.62
SINT,SINTX TECHNOLOGIES I,05/28/2024,1,$9.15,$0.08
THAR,THARIMMUNIE INC,05/28/2024,1,$4.32,$0.33
GWAV,GREENWAVE TECHNOLOGY,05/30/2024,1,$0.04,$0.04
NBY,NOVABAY PHARMACEUTL EQUITY,05/30/2024,1,$0.10,$0.10
GWAV,GREENWAVE TECHNOLOGY,06/03/2024,1,$4.17,$0.04
NBY,NOVABAY PHARMACEUTL EQUITY,06/03/2024,1,$3.17,$0.10
OPGN,OPGEN INC EQUITY,06/03/2024,1,$2.82,$0.47
PLAG,PLANET GREEN HLDGS C,06/03/2024,1,$1.75,$0.20
CNSP,CNS PHARMACEUTICALS,06/06/2024,1,$5.12,$0.14
TNXP,TONIX PHARMA HLDGS EQUITY,06/13/2024,1,$1.11,$0.11
CEAD,CEA INDUSTRIES INC,06/17/2024,1,$6.88,$0.71
TRNR,INTERACTIVE STRENGTH EQUITY,06/17/2024,1,$5.26,$0.09
STRR,STAR EQUITY HLDGS IN,06/17/2024,1,$3.81,$0.81
FORD,FORWARD INDS INC,06/24/2024,1,$4.10,$0.50
VSME,VS MEDIA HOLDINGS LT A,06/24/2024,1,$1.57,$0.21
CRKN,CROWN ELECTROKINETIC,06/25/2024,1,$4.05,$0.04
YYAI,CONNEXA SPORTS TECHN EQUITY,06/28/2024,1,$8.01,$0.40
STAF,STAFFING 360 SOLUT,06/28/2024,1,$2.51,$0.21
ASST,ASSET ENTITIES INC B,07/05/2024,1,$1.40,$0.32
CJET,CHIJET MOTOR CO INC,07/05/2024,1,$0.30,$0.30
DARE,DARE BIOSCIENCE INC EQUITY,07/05/2024,1,$3.10,$0.36
JZXN,JIUZI HLDGS INC,07/05/2024,1,$3.35,$0.31
KORE,KORE GROUP HLDGS INC,07/05/2024,1,$1.46,$0.51
YGMZ,MINGZHU LOGISTICS HO,07/05/2024,1,$1.40,$0.35
RELI,RELIANCE GLOBAL GROU EQUITY,07/05/2024,1,$3.92,$0.23
