Symbol,Name,Closed Date,Quantity,Sell Price,Cost Basis (CB),Split Ratio,Adjusted Cost Basis,Difference
MMAT,META MATLS INC,02/01/2024,1,3.56,0.06,1:2,0.12,2866.67
UAVS,AGEAGLE AERIAL SYSTE,02/05/2024,1,0.07,0.07,1 : 20,1.4000000000000001,-95.0
CMAX,CAREMAX INC A,02/05/2024,1,7.2,0.45,1 : 30,13.5,-46.67
SGLY,SINGULARITY FUTURE T,02/05/2024,1,0.58,0.63,1 : 10,6.3,-90.79
SGLY,SINGULARITY FUTURE T,02/05/2024,1,0.58,0.62,1 : 10,6.2,-90.65
VCNX,VACCINEX INC,02/23/2024,1,7.67,0.73,1 : 14,10.219999999999999,-24.95
AUUD,AUDDIA INC,02/27/2024,1,3.19,0.17,1 : 25,4.25,-24.94
BSGM,BIOSIG TECHNOLOGIES,02/27/2024,1,0.49,0.16,1 : 10,1.6,-69.38
CLEU,CHINA LIBERAL ED HLD,02/27/2024,1,2.16,0.17,1 : 15,2.5500000000000003,-15.29
EJH,E-HOME HOUSEHOLD SVC,02/27/2024,1,1.7,0.44,1 : 5,2.2,-22.73
GNPX,GENPREX INC,02/27/2024,1,4.38,0.19,1 : 40,7.6,-42.37
GRYP,GRYPHON DIGITAL MNG,02/27/2024,1,2.52,0.28,1 : 20,5.6000000000000005,-55.0
LYT,LYTUS TECHNOLOGIES H,02/27/2024,1,2.81,0.05,1 : 59.99,0.05,5520.0
PHUN,PHUNWARE INC,02/27/2024,1,7.88,0.16,1 : 50,8.0,-1.5
SISI,SHINECO INC,02/27/2024,1,1.19,0.13,1 : 10,1.3,-8.46
SGLY,SINGULARITY FUTURE T,02/27/2024,1,2.58,0.63,1 : 10,6.3,-59.05
ATNF,180 LIFE SCIENCES CO,03/01/2024,1,3.37,0.21,1 : 19,3.9899999999999998,-15.54
CJJD,CHINA JOJO DRUGSTORE,03/01/2024,1,2.99,0.18,1 : 20,3.5999999999999996,-16.94
RETO,RETO ECO SOLUTIONS I,03/01/2024,1,2.43,0.36,1 : 10,3.5999999999999996,-32.5
BTTR,BETTER CHOICE CO INC,03/22/2024,1,6.6,0.17,1 : 43.99,0.17,3782.35
LMFA,L M FUNDING AMERICA,03/22/2024,1,2.7,0.53,,0.53,409.43
MLGO,MICROALGO INC,03/22/2024,1,3.91,0.43,1 : 10,4.3,-9.07
MBRX,MOLECULIN BIOTECH IN,03/22/2024,1,5.79,0.47,1 : 15,7.05,-17.87
XTIA,XTI AEROSPACE INC,03/22/2024,1,2.13,0.06,1 : 100,6.0,-64.5
ZCMD,ZHONGCHAO INC A,03/22/2024,1,1.59,0.36,1 : 10,3.5999999999999996,-55.83
AWIN,AERWINS TECHNOLOGIES,04/04/2024,1,5.04,0.07,1 : 100,7.000000000000001,-28.0
CISO,CISO GLOBAL INC,04/04/2024,1,1.27,0.09,1 : 15,1.3499999999999999,-5.93
EDBL,EDIBLE GARDEN AG INC,04/04/2024,1,0.44,0.43,1 : 20,8.6,-94.88
NRXP,NRX PHARMACEUTICALS,04/04/2024,1,5.03,0.49,1 : 10,4.9,2.65
DCFC,TRITIUM DCFC LTD,04/04/2024,1,7.62,0.05,,0.05,15140.0
UCAR,U POWER LTD,04/04/2024,1,6.1,0.05,1 : 100,5.0,22.0
EMKR,EMCORE CORP,04/08/2024,1,3.23,0.34,1 : 10,3.4000000000000004,-5.0
TCON,TRACON PHARMACEUTL,04/11/2024,1,2.92,0.18,1 : 20,3.5999999999999996,-18.89
MI,NFT LTD A,04/23/2024,1,3.83,0.15,1 : 50,7.5,-48.93
CTHR,CHARLES & COLVARD,05/17/2024,1,2.55,0.3,1 : 10,3.0,-15.0
VINO,GAUCHO GROUP HLDGS I,05/17/2024,1,4.38,0.63,1 : 10,6.3,-30.48
GSUN,GOLDEN SUN HEALTH TE A,05/17/2024,1,4.97,0.49,1 : 10,4.9,1.43
HSCS,HEART TEST LABORATOR,05/17/2024,1,6.84,0.13,1 : 100,13.0,-47.38
NUTX,NUTEX HEALTH INC,05/17/2024,1,0.71,0.08,1:10,0.8,-11.25
RCON,RECON TECHNOLOGY LTD A,05/17/2024,1,1.68,0.1,1 : 18,1.8,-6.67
SMFL,SMART FOR LIFE INC,05/17/2024,1,3.06,0.48,1 : 7,3.36,-8.93
SOPA,SOCIETY PASS INC EQUITY,05/17/2024,1,1.81,0.12,1 : 15,1.7999999999999998,0.56
WINT,WINDTREE THERAPEUTIC,05/17/2024,1,4.41,0.35,1 : 18,6.3,-30.0
ZAPP,ZAPP ELECTRIC VEHS G,05/17/2024,1,1.31,0.15,1 : 20,3.0,-56.33
ZVSA,ZYVERSA THERAPEUTICS EQUITY,05/17/2024,1,4.6,0.62,1 : 10,6.2,-25.81
SINT,SINTX TECHNOLOGIES I,05/28/2024,1,9.15,0.08,1 : 200,16.0,-42.81
THAR,THARIMMUNIE INC,05/28/2024,1,4.32,0.33,1 : 15,4.95,-12.73
GWAV,GREENWAVE TECHNOLOGY,05/30/2024,1,0.04,0.04,1 : 149.93,0.04,0.0
NBY,NOVABAY PHARMACEUTL EQUITY,05/30/2024,1,0.1,0.1,1 : 35,3.5,-97.14
GWAV,GREENWAVE TECHNOLOGY,06/03/2024,1,4.17,0.04,1 : 149.93,0.04,10325.0
NBY,NOVABAY PHARMACEUTL EQUITY,06/03/2024,1,3.17,0.1,1 : 35,3.5,-9.43
OPGN,OPGEN INC EQUITY,06/03/2024,1,2.82,0.47,1 : 10,4.699999999999999,-40.0
PLAG,PLANET GREEN HLDGS C,06/03/2024,1,1.75,0.2,1 : 10,2.0,-12.5
CNSP,CNS PHARMACEUTICALS,06/06/2024,1,5.12,0.14,1 : 50,7.000000000000001,-26.86
TNXP,TONIX PHARMA HLDGS EQUITY,06/13/2024,1,1.11,0.11,1 : 32,3.52,-68.47
CEAD,CEA INDUSTRIES INC,06/17/2024,1,6.88,0.71,1 : 12,8.52,-19.25
TRNR,INTERACTIVE STRENGTH EQUITY,06/17/2024,1,5.26,0.09,1:40,3.5999999999999996,46.11
STRR,STAR EQUITY HLDGS IN,06/17/2024,1,3.81,0.81,1:5,4.050000000000001,-5.93
FORD,FORWARD INDS INC,06/24/2024,1,4.1,0.5,1:10,5.0,-18.0
VSME,VS MEDIA HOLDINGS LT A,06/24/2024,1,1.57,0.21,1:7,1.47,6.8
CRKN,CROWN ELECTROKINETIC,06/25/2024,1,4.05,0.04,1:150,6.0,-32.5
YYAI,CONNEXA SPORTS TECHN EQUITY,06/28/2024,1,8.01,0.4,1:20,8.0,0.12
STAF,STAFFING 360 SOLUT,06/28/2024,1,2.51,0.21,1:10,2.1,19.52
ASST,ASSET ENTITIES INC B,07/05/2024,1,1.4,0.32,1:5,1.6,-12.5
CJET,CHIJET MOTOR CO INC,07/05/2024,1,0.3,0.3,1:30,9.0,-96.67
DARE,DARE BIOSCIENCE INC EQUITY,07/05/2024,1,3.1,0.36,1:12,4.32,-28.24
JZXN,JIUZI HLDGS INC,07/05/2024,1,3.35,0.31,1:13,4.03,-16.87
KORE,KORE GROUP HLDGS INC,07/05/2024,1,1.46,0.51,1:5,2.55,-42.75
YGMZ,MINGZHU LOGISTICS HO,07/05/2024,1,1.4,0.35,1:8,2.8,-50.0
RELI,RELIANCE GLOBAL GROU EQUITY,07/05/2024,1,3.92,0.23,1:17,3.91,0.26
