Adj. Close,Split Ratio,Ticker
27.305,1.0,ZUMZ
27.955,1.0,ZUMZ
27.975,1.0,ZUMZ
27.675,1.0,ZUMZ
27.005,1.0,ZUMZ
27.15,1.0,ZUMZ
28.11,1.0,ZUMZ
29.17,1.0,ZUMZ
29.05,1.0,ZUMZ
29.75,1.0,ZUMZ
29.62,1.0,ZUMZ
29.53,1.0,ZUMZ
29.74,1.0,ZUMZ
29.9,1.0,ZUMZ
30.575,1.0,ZUMZ
30.685,1.0,ZUMZ
30.55,1.0,ZUMZ
28.88,1.0,ZUMZ
28.495,1.0,ZUMZ
29.875,1.0,ZUMZ
30.55,1.0,ZUMZ
30.995,1.0,ZUMZ
30.97,1.0,ZUMZ
30.35,1.0,ZUMZ
29.5125,1.0,ZUMZ
30.325,1.0,ZUMZ
30.075,1.0,ZUMZ
31.33,1.0,ZUMZ
31.505,1.0,ZUMZ
31.72,2.0,ZUMZ
31.43,1.0,ZUMZ
32.06,1.0,ZUMZ
32.46,1.0,ZUMZ
32.33,1.0,ZUMZ
32.31,1.0,ZUMZ
32.5,1.0,ZUMZ
33.21,1.0,ZUMZ
34.12,1.0,ZUMZ
32.88,1.0,ZUMZ
35.21,1.0,ZUMZ
34.82,1.0,ZUMZ
33.75,1.0,ZUMZ
32.41,1.0,ZUMZ
34.0,1.0,ZUMZ
33.19,1.0,ZUMZ
32.69,1.0,ZUMZ
34.53,1.0,ZUMZ
32.24,1.0,ZUMZ
33.3,1.0,ZUMZ
33.71,1.0,ZUMZ
30.78,1.0,ZUMZ
30.17,1.0,ZUMZ
30.24,1.0,ZUMZ
30.93,1.0,ZUMZ
33.95,1.0,ZUMZ
33.73,1.0,ZUMZ
33.13,1.0,ZUMZ
33.59,1.0,ZUMZ
34.93,1.0,ZUMZ
33.96,1.0,ZUMZ
32.65,1.0,ZUMZ
32.94,1.0,ZUMZ
32.23,1.0,ZUMZ
30.35,1.0,ZUMZ
30.32,1.0,ZUMZ
28.73,1.0,ZUMZ
27.29,1.0,ZUMZ
28.37,1.0,ZUMZ
30.09,1.0,ZUMZ
30.06,1.0,ZUMZ
29.42,1.0,ZUMZ
29.55,1.0,ZUMZ
30.57,1.0,ZUMZ
30.0,1.0,ZUMZ
30.56,1.0,ZUMZ
31.73,1.0,ZUMZ
31.04,1.0,ZUMZ
31.23,1.0,ZUMZ
35.0,1.0,ZUMZ
37.57,1.0,ZUMZ
38.0,1.0,ZUMZ
37.94,1.0,ZUMZ
36.53,1.0,ZUMZ
35.28,1.0,ZUMZ
36.26,1.0,ZUMZ
36.02,1.0,ZUMZ
35.03,1.0,ZUMZ
32.85,1.0,ZUMZ
31.07,1.0,ZUMZ
32.15,1.0,ZUMZ
31.11,1.0,ZUMZ
31.22,1.0,ZUMZ
31.29,1.0,ZUMZ
30.66,1.0,ZUMZ
32.25,1.0,ZUMZ
32.09,1.0,ZUMZ
31.28,1.0,ZUMZ
31.98,1.0,ZUMZ
31.03,1.0,ZUMZ
29.93,1.0,ZUMZ
28.28,1.0,ZUMZ
28.99,1.0,ZUMZ
28.49,1.0,ZUMZ
28.04,1.0,ZUMZ
26.99,1.0,ZUMZ
26.31,1.0,ZUMZ
24.78,1.0,ZUMZ
25.98,1.0,ZUMZ
24.71,1.0,ZUMZ
24.89,1.0,ZUMZ
26.24,1.0,ZUMZ
26.6,1.0,ZUMZ
24.06,1.0,ZUMZ
24.62,1.0,ZUMZ
23.64,1.0,ZUMZ
23.97,1.0,ZUMZ
24.42,1.0,ZUMZ
22.31,1.0,ZUMZ
22.18,1.0,ZUMZ
22.82,1.0,ZUMZ
22.62,1.0,ZUMZ
23.19,1.0,ZUMZ
22.29,1.0,ZUMZ
21.92,1.0,ZUMZ
21.82,1.0,ZUMZ
20.8,1.0,ZUMZ
21.02,1.0,ZUMZ
20.12,1.0,ZUMZ
21.92,1.0,ZUMZ
23.74,1.0,ZUMZ
23.93,1.0,ZUMZ
23.95,1.0,ZUMZ
26.24,1.0,ZUMZ
25.74,1.0,ZUMZ
26.61,1.0,ZUMZ
26.76,1.0,ZUMZ
26.99,1.0,ZUMZ
26.76,1.0,ZUMZ
27.39,1.0,ZUMZ
27.57,1.0,ZUMZ
26.67,1.0,ZUMZ
27.04,1.0,ZUMZ
27.0,1.0,ZUMZ
27.9,1.0,ZUMZ
28.28,1.0,ZUMZ
29.42,1.0,ZUMZ
31.33,1.0,ZUMZ
31.62,1.0,ZUMZ
32.0,1.0,ZUMZ
32.04,1.0,ZUMZ
30.27,1.0,ZUMZ
31.43,1.0,ZUMZ
32.7,1.0,ZUMZ
32.24,1.0,ZUMZ
31.53,1.0,ZUMZ
31.44,1.0,ZUMZ
31.28,1.0,ZUMZ
30.97,1.0,ZUMZ
31.67,1.0,ZUMZ
31.81,1.0,ZUMZ
32.21,1.0,ZUMZ
32.59,1.0,ZUMZ
32.68,1.0,ZUMZ
32.74,1.0,ZUMZ
32.86,1.0,ZUMZ
31.83,1.0,ZUMZ
33.22,1.0,ZUMZ
32.25,1.0,ZUMZ
32.13,1.0,ZUMZ
30.65,1.0,ZUMZ
31.03,1.0,ZUMZ
30.27,1.0,ZUMZ
30.67,1.0,ZUMZ
30.52,1.0,ZUMZ
31.28,1.0,ZUMZ
31.5,1.0,ZUMZ
28.49,1.0,ZUMZ
28.1,1.0,ZUMZ
28.36,1.0,ZUMZ
28.18,1.0,ZUMZ
28.26,1.0,ZUMZ
28.04,1.0,ZUMZ
26.9,1.0,ZUMZ
27.55,1.0,ZUMZ
28.67,1.0,ZUMZ
30.65,1.0,ZUMZ
29.99,1.0,ZUMZ
30.02,1.0,ZUMZ
30.25,1.0,ZUMZ
30.53,1.0,ZUMZ
32.31,1.0,ZUMZ
31.05,1.0,ZUMZ
30.34,1.0,ZUMZ
29.7,1.0,ZUMZ
29.26,1.0,ZUMZ
29.45,1.0,ZUMZ
29.4,1.0,ZUMZ
28.35,1.0,ZUMZ
28.39,1.0,ZUMZ
29.88,1.0,ZUMZ
29.52,1.0,ZUMZ
30.01,1.0,ZUMZ
29.16,1.0,ZUMZ
29.52,1.0,ZUMZ
29.9,1.0,ZUMZ
29.54,1.0,ZUMZ
31.05,1.0,ZUMZ
32.44,1.0,ZUMZ
32.57,1.0,ZUMZ
32.95,1.0,ZUMZ
33.94,1.0,ZUMZ
35.29,1.0,ZUMZ
34.55,1.0,ZUMZ
35.81,1.0,ZUMZ
35.43,1.0,ZUMZ
34.81,1.0,ZUMZ
33.95,1.0,ZUMZ
33.9,1.0,ZUMZ
33.3,1.0,ZUMZ
33.45,1.0,ZUMZ
33.54,1.0,ZUMZ
33.28,1.0,ZUMZ
33.12,1.0,ZUMZ
32.96,1.0,ZUMZ
31.47,1.0,ZUMZ
32.9,1.0,ZUMZ
33.38,1.0,ZUMZ
33.68,1.0,ZUMZ
33.97,1.0,ZUMZ
35.49,1.0,ZUMZ
35.45,1.0,ZUMZ
36.49,1.0,ZUMZ
36.18,1.0,ZUMZ
35.52,1.0,ZUMZ
35.25,1.0,ZUMZ
35.058,1.0,ZUMZ
34.89,1.0,ZUMZ
35.05,1.0,ZUMZ
35.7,1.0,ZUMZ
36.37,1.0,ZUMZ
36.64,1.0,ZUMZ
36.77,1.0,ZUMZ
35.74,1.0,ZUMZ
34.0,1.0,ZUMZ
34.01,1.0,ZUMZ
33.4,1.0,ZUMZ
33.22,1.0,ZUMZ
31.57,1.0,ZUMZ
32.51,1.0,ZUMZ
32.29,1.0,ZUMZ
36.65,1.0,ZUMZ
36.95,1.0,ZUMZ
36.75,1.0,ZUMZ
35.85,1.0,ZUMZ
36.21,1.0,ZUMZ
39.56,1.0,ZUMZ
39.24,1.0,ZUMZ
39.3,1.0,ZUMZ
39.88,1.0,ZUMZ
41.15,1.0,ZUMZ
41.83,1.0,ZUMZ
41.51,1.0,ZUMZ
41.09,1.0,ZUMZ
40.75,1.0,ZUMZ
40.75,1.0,ZUMZ
40.22,1.0,ZUMZ
40.12,1.0,ZUMZ
40.93,1.0,ZUMZ
41.83,1.0,ZUMZ
41.95,1.0,ZUMZ
42.0,1.0,ZUMZ
41.54,1.0,ZUMZ
40.79,1.0,ZUMZ
40.66,1.0,ZUMZ
40.91,1.0,ZUMZ
39.75,1.0,ZUMZ
39.61,1.0,ZUMZ
39.29,1.0,ZUMZ
38.76,1.0,ZUMZ
39.36,1.0,ZUMZ
39.35,1.0,ZUMZ
40.51,1.0,ZUMZ
39.99,1.0,ZUMZ
39.46,1.0,ZUMZ
39.54,1.0,ZUMZ
39.29,1.0,ZUMZ
39.46,1.0,ZUMZ
39.03,1.0,ZUMZ
39.33,1.0,ZUMZ
39.1,1.0,ZUMZ
39.78,1.0,ZUMZ
41.2,1.0,ZUMZ
41.32,1.0,ZUMZ
40.92,1.0,ZUMZ
39.61,1.0,ZUMZ
39.53,1.0,ZUMZ
39.48,1.0,ZUMZ
39.0,1.0,ZUMZ
39.6,1.0,ZUMZ
39.12,1.0,ZUMZ
39.65,1.0,ZUMZ
41.13,1.0,ZUMZ
41.43,1.0,ZUMZ
41.8,1.0,ZUMZ
38.92,1.0,ZUMZ
39.05,1.0,ZUMZ
37.55,1.0,ZUMZ
37.95,1.0,ZUMZ
38.6,1.0,ZUMZ
38.28,1.0,ZUMZ
38.61,1.0,ZUMZ
39.57,1.0,ZUMZ
39.94,1.0,ZUMZ
38.7899,1.0,ZUMZ
38.59,1.0,ZUMZ
37.67,1.0,ZUMZ
37.75,1.0,ZUMZ
38.82,1.0,ZUMZ
39.07,1.0,ZUMZ
39.12,1.0,ZUMZ
39.44,1.0,ZUMZ
39.68,1.0,ZUMZ
39.65,1.0,ZUMZ
39.68,1.0,ZUMZ
38.5,1.0,ZUMZ
37.97,1.0,ZUMZ
37.65,1.0,ZUMZ
38.36,1.0,ZUMZ
38.19,1.0,ZUMZ
37.78,1.0,ZUMZ
37.92,1.0,ZUMZ
37.04,1.0,ZUMZ
38.095,1.0,ZUMZ
39.58,1.0,ZUMZ
38.66,1.0,ZUMZ
37.31,1.0,ZUMZ
36.9,1.0,ZUMZ
40.49,1.0,ZUMZ
40.93,1.0,ZUMZ
40.7,1.0,ZUMZ
41.34,1.0,ZUMZ
40.02,1.0,ZUMZ
39.98,1.0,ZUMZ
39.04,1.0,ZUMZ
39.07,1.0,ZUMZ
37.7,1.0,ZUMZ
