Date,Symbol,Company Name,Split Ratio
04/05/2024,SNPX,Synaptogenix Inc,1 : 25
04/04/2024,STKH,Steakholder Foods Ltd.,1 : 10
04/03/2024,RENT,Rent The Runway Inc,1 : 20
04/03/2024,UCAR,U Power Ltd.,1 : 100
04/02/2024,DCFCQ,Tritium Dcfc Ltd.,1 : 200
04/02/2024,AWIN,Aerwins Technologies Inc,1 : 100
04/02/2024,NRXP,Nrx Pharmaceuticals Inc,1 : 10
04/02/2024,XXII,22nd Century Group Inc,1 : 16
04/02/2024,EMKR,Emcore Corp,1 : 10
04/01/2024,PLUR,Pluri Inc,1 : 8
04/01/2024,CTNM,Contineum Therapeutics Inc,1 : 5.6
03/28/2024,DOYU,Douyu International Holdings Ltd.,1 : 10
03/27/2024,LGVN,Longeveron Inc,1 : 10
03/27/2024,CTRM,Castor Maritime Inc,1 : 10
03/26/2024,QTTB,Q32 Bio Inc,1 : 18
03/25/2024,INTZ,Intrusion Inc,1 : 20
03/22/2024,LENZ,Lenz Therapeutics Inc,1 : 7
03/22/2024,MLGO,Microalgo Inc,1 : 10
03/22/2024,ATER,Aterian Inc,1 : 12
03/22/2024,BCAN,Bynd Cannasoft Enterprises Inc,1 : 190.11
03/22/2024,MBRX,Moleculin Biotech Inc,1 : 15
03/21/2024,BTTR,Better Choice Co Inc,1 : 43.99
03/21/2024,ADVM,Adverum Biotechnologies Inc,1 : 10
03/19/2024,AEVA,Aeva Technologies Inc,1 : 5
03/19/2024,BOLD,Boundless Bio Inc,1 : 19.5
03/18/2024,YSG,Yatsen Holding Ltd.,1 : 5
03/15/2024,LFWD,Lifeward Ltd.,1 : 7
03/15/2024,SER,Serina Therapeutics Inc,1 : 35.17
03/14/2024,OTLK,Outlook Therapeutics Inc,1 : 20
03/13/2024,XTIA,Xti Aerospace Inc,1 : 100
03/13/2024,HPCO,Hempacco Co Inc,1 : 10
03/11/2024,AFMD,Affimed Nv,1 : 10
03/08/2024,GOEV,Canoo Inc,1 : 23
03/08/2024,GXAI,Gaxosai Inc,1 : 12
03/08/2024,PGY,Pagaya Technologies Ltd.,1 : 12
03/08/2024,CISO,Ciso Global Inc,1 : 15
03/07/2024,PIK,Kidpik Corp,1 : 5
03/06/2024,CPHI,China Pharma Holdings Inc,1 : 5
03/06/2024,APVO,Aptevo Therapeutics Inc,1 : 43.99
03/04/2024,AUNA,Auna SA,1 : 5.5
03/04/2024,IFBD,Infobird Co Ltd.,1 : 8
03/01/2024,VRPX,Virpax Pharmaceuticals Inc,1 : 10
03/01/2024,EGIO,Edgio Inc,1 : 40
03/01/2024,RETO,Reto Eco-solutions Inc,1 : 10
03/01/2024,FFIE,Faraday Future Intelligent Electric Inc,1 : 3
03/01/2024,CJJD,China Jo-jo Drugstores Inc,1 : 20
02/29/2024,ZCMD,Zhongchao Inc,1 : 10
02/29/2024,CELU,Celularity Inc,1 : 10
02/28/2024,ATNF,180 Life Sciences Corp,1 : 19
02/27/2024,TGL,Treasure Global Inc,1 : 69.98
02/27/2024,PHUN,Phunware Inc,1 : 50
02/27/2024,AUUD,Auddia Inc,1 : 25
02/26/2024,LSDI,Lucy Scientific Discovery Inc,1 : 10
02/23/2024,LYT,Lytus Technologies Holdings Ptv Ltd.,1 : 59.99
02/23/2024,TRIB,Trinity Biotech PLC,1 : 5
02/23/2024,BPTH,Bio-path Holdings Inc,1 : 20
02/20/2024,ACB,Aurora Cannabis Inc,1 : 10
02/20/2024,AMBO,Ambow Education Holding Ltd.,1 : 10
02/20/2024,JZ,Jianzhi Education Technology Group Co Ltd.,1 : 3
02/20/2024,VCNX,Vaccinex Inc,1 : 14
02/16/2024,SISI,Shineco Inc,1 : 10
02/15/2024,MYMD,Mymd Pharmaceuticals Inc,1 : 30
02/14/2024,CHRO,Chromocell Therapeutics Corp,1 : 9
02/14/2024,VRM,Vroom Inc,1 : 80
02/14/2024,DTIL,Precision Biosciences Inc,1 : 30
02/14/2024,EJH,E-home Household Service Holdings Ltd.,1 : 5
02/12/2024,ASMB,Assembly Biosciences Inc,1 : 12
02/12/2024,SGLY,Singularity Future Technology Ltd.,1 : 10
02/09/2024,GRYP,Gryphon Digital Mining Inc,1 : 20
02/09/2024,UAVS,Ageagle Aerial Systems Inc,1 : 20
02/05/2024,GTBP,Gt Biopharma Inc,1 : 30
02/05/2024,FRGT,Freight Technologies Inc,1 : 10
02/02/2024,BSGM,Biosig Technologies Inc,1 : 10
02/02/2024,CAMPQ,Calamp Corp,1 : 23
02/02/2024,HOLO,Microcloud Hologram Inc,1 : 10
02/02/2024,GNPX,Genprex Inc,1 : 40
02/01/2024,TCRT,Alaunos Therapeutics Inc,1 : 15
02/01/2024,CMAX,Caremax Inc,1 : 30
01/31/2024,GOVX,Geovax Labs Inc,1 : 15
01/30/2024,QGEN,Qiagen Nv,1 : 1.03
01/29/2024,INBS,Intelligent Bio Solutions Inc,1 : 12
