Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,SMA_20,SMA_50,EMA_20,EMA_50,RSI,ATR,MACD,MACD_Signal,BB_Upper,BB_Lower,Stochastic,ADX,CCI
2024-03-04 00:00:00-05:00,6.48681380296407,6.525598900489773,6.0795698165893555,6.0795698165893555,12723600,0.0,0.0,0.0,,,6.0795698165893555,6.0795698165893555,,,0.0,0.0,,,,,
2024-03-05 00:00:00-05:00,5.934125448302926,6.108658848894374,5.875947802224054,6.089266300201416,18545900,0.0,0.0,0.0,,,6.080493291219075,6.0799500708486525,,,0.0007735086642099986,0.00015470173284199974,,,,,
2024-03-06 00:00:00-05:00,5.9341252933927535,5.972910389766184,5.711110758068116,5.817770004272461,13320400,0.0,0.0,0.0,,,6.055472025795588,6.069668499610371,,,-0.020287105119294324,-0.003933659637585265,,,,,
2024-03-07 00:00:00-05:00,5.691718734548201,5.798377990584474,5.62384504081546,5.643237590789795,8587700,0.0,0.0,0.0,,,6.016211603414083,6.0529457188723095,,,-0.05047920753382673,-0.013242769216833558,,,,,
2024-03-08 00:00:00-05:00,5.56566634473075,5.740199738547062,5.526881248850417,5.6820220947265625,10533800,0.0,0.0,0.0,,,5.984384031158129,6.038399694396006,,,-0.07046480646155207,-0.02468717666577726,,,,,
2024-03-11 00:00:00-04:00,5.720807278390282,5.79837747134123,5.391133495993931,5.488096237182617,9230500,0.0,0.0,0.0,,,5.937118526969985,6.016819166662147,,,-0.10078989048009657,-0.039907719428641124,,,,,
2024-03-12 00:00:00-04:00,5.701414780954857,5.82746657680074,5.6141480819300424,5.633540630340576,12625700,0.0,0.0,0.0,,,5.908206346338613,6.001788635826007,,,-0.11179785496658123,-0.05428574653622915,,,,,
2024-03-13 00:00:00-04:00,5.565666766694487,5.614148371397966,5.303867118476363,5.3814377784729,11089200,0.0,0.0,0.0,,,5.858037911303783,5.977461151223925,,,-0.13925904774781195,-0.0712804067785457,,,,,
2024-03-14 00:00:00-04:00,5.497793160727646,5.604452415326794,5.439615511588526,5.507489204406738,8460400,0.0,0.0,0.0,,,5.824652320170731,5.959030878799721,,,-0.1491318451771555,-0.08685069445826767,,,,,
2024-03-15 00:00:00-04:00,5.5753631136308925,5.633540760203592,5.4202227227703625,5.4299187660217285,9121400,0.0,0.0,0.0,,,5.787058648347017,5.938281384180977,,,-0.16135538986986564,-0.10175163354058726,,,,,
2024-03-18 00:00:00-04:00,5.4202228818455165,5.555970727832469,5.391133826528031,5.536578178405762,7403900,0.0,0.0,0.0,,,5.763203365495468,5.922528317287831,,,-0.160584990109931,-0.11351830485445602,,,,,
