Date,Symbol,Company Name,Split Ratio
12/7/2023,XHG,Xchange Tecinc,1 : 40
12/7/2023,PAVM,Pavmed Inc,1 : 15
12/5/2023,ZVSA,Zyversa Therapeutics Inc,1 : 35
12/5/2023,DEC,Diversified Energy Co PLC,1 : 20
12/4/2023,SYTA,Siyata Mobile Inc,1 : 7
12/4/2023,MCOM,Micromobilitycom Inc,1 : 149.93
12/4/2023,BNRG,Brenmiller Energy Ltd.,1 : 10
12/1/2023,ENG,Englobal Corp,1 : 8
11/30/2023,UK,Ucommune International Ltd.,1 : 12
11/30/2023,LQR,Lqr House Inc,1 : 59.99
11/30/2023,IXHL,Incannex Healthcare Inc,1 : 4
11/30/2023,CING,Cingulate Inc,1 : 20
11/29/2023,RGS,Regis Corp,1 : 20
11/29/2023,PRAX,Praxis Precision Medicines Inc,1 : 15
11/29/2023,IBIO,Ibio Inc,1 : 20
11/28/2023,YOSH,Yoshiharu Global Co.,1 : 10
11/28/2023,SEEL,Seelos Therapeutics Inc,1 : 30
11/28/2023,CMND,Clearmind Medicine Inc,1 : 30
11/27/2023,CHR,Cheer Holding Inc,1 : 10
11/22/2023,NURO,Neurometrix Inc,1 : 8
11/22/2023,BODI,Beachbody Company Inc,1 : 50
11/21/2023,VTVT,Vtv Therapeutics Inc,1 : 40
11/21/2023,THAR,Tharimmune Inc,1 : 25
11/20/2023,IFBD,Infobird Co Ltd.,1 : 20
11/17/2023,TRVG,Trivago Nv,1 : 5
11/17/2023,SNES,Senestech Inc,1 : 12
11/17/2023,AMTD,Amtd Idea Group,1 : 3
11/16/2023,MDXH,Mdxhealth SA,
11/16/2023,DDC,Ddc Enterprise Ltd.,1 : 16
11/16/2023,AEYGQ,Addvantage Technologies Group Inc,1 : 10
11/15/2023,RVSN,Rail Vision Ltd.,1 : 8
11/15/2023,HYMC,Hycroft Mining Holding Corp,1 : 10
11/14/2023,XRTX,Xortx Therapeutics Inc,1 : 9
11/14/2023,PRE,Prenetics Global Ltd.,1 : 15
11/8/2023,QNRX,Quoin Pharmaceuticals Ltd.,
11/7/2023,NVOS,Novo Integrated Sciences Inc,1 : 10
11/7/2023,FOXO,Foxo Technologies Inc,1 : 10
11/7/2023,DOGZ,Dogness (international) Corp,1 : 20
11/6/2023,KRRO,Korro Bio Inc,1 : 50
11/3/2023,JFBR,Jeffs' Brands Ltd.,1 : 7
11/3/2023,CANOQ,Cano Health Inc,1 : 100
11/2/2023,XHG,Xchange Tecinc,
11/2/2023,TNON,Tenon Medical Inc,1 : 10
11/2/2023,MOTS,Motus Gi Holdings Inc,1 : 15
11/1/2023,BYFC,Broadway Financial Corp,1 : 8
10/31/2023,PXMD,Paxmedica Inc,1 : 17
10/31/2023,GYRE,Gyre Therapeutics Inc,1 : 15
10/31/2023,ALZN,Alzamend Neuro Inc,1 : 15
10/30/2023,GVP,Gse Systems Inc,1 : 10
10/30/2023,BYU,Baiyu Holdings Inc,1 : 50
10/27/2023,ZIVO,Zivo Bioscience Inc,1 : 6
10/27/2023,VVOS,Vivos Therapeutics Inc,1 : 25
10/27/2023,SMFL,Smart For Life Inc,1 : 3
10/27/2023,NOAH,Noah Holdings Ltd.,
10/27/2023,JWEL,Jowell Global Ltd.,1 : 16
10/27/2023,CPOP,Pop Culture Group Co Ltd.,1 : 10
10/26/2023,VHC,Virnetx Holding Corp,1 : 20
10/26/2023,GTH,Genetron Holdings Ltd.,1 : 3
10/23/2023,ADXN,Addex Therapeutics Ltd.,1 : 20
10/20/2023,TRML,Tourmaline Bio Inc,1 : 10
10/20/2023,POLCQ,Polishedcom Inc,1 : 50
10/19/2023,NEXI,Neximmune Inc,1 : 25
10/18/2023,WAVD,Wavedancer Inc,1 : 10
10/18/2023,REE,Ree Automotive Ltd.,1 : 30
10/18/2023,OCG,Oriental Culture Holding Ltd.,1 : 5
10/17/2023,NTBL,Notable Labs Ltd.,1 : 35
10/17/2023,ISPO,Inspirato Inc,1 : 20
10/17/2023,IMTE,Integrated Media Technology Ltd.,1 : 10
10/16/2023,VLCN,Volcon Inc,1 : 5
10/16/2023,SLNH,Soluna Holdings Inc,1 : 25
10/16/2023,PROP,Prairie Operating Co.,1 : 28.57
10/16/2023,PIXY,Shiftpixy Inc,1 : 24
10/16/2023,MIND,Mind Technology Inc,1 : 10
10/16/2023,JCSE,Je Cleantech Holdings Ltd.,1 : 3
10/16/2023,AQB,Aquabounty Technologies Inc,1 : 20
10/13/2023,TTOO,T2 Biosystems Inc,1 : 100
10/13/2023,LIFW,Msp Recovery Inc,1 : 25
10/12/2023,AMAM,Ambrx Biopharma Inc,
10/11/2023,WORX,Scworx Corp,1 : 15
10/11/2023,EDSA,Edesa Biotech Inc,1 : 7
10/11/2023,AGRI,Agriforce Growing Systems Ltd.,1 : 50
10/10/2023,FBIO,Fortress Biotech Inc,1 : 15
10/9/2023,SPRU,Spruce Power Holding Corp,1 : 8
10/6/2023,VVPR,Vivopower International PLC,1 : 10
10/6/2023,NITO,N2off Inc,1 : 7
10/5/2023,SXTC,China Sxt Pharmaceuticals Inc,1 : 25
10/5/2023,AEMD,Aethlon Medical Inc,1 : 10
10/3/2023,VCSA,Vacasa Inc,1 : 20
10/3/2023,IRS,Irsa Investments & Representations Inc,1 : 1.1
10/2/2023,UTRS,Minerva Surgical Inc,1 : 20
10/2/2023,SKIL,Skillsoft Corp,1 : 20
10/2/2023,NCTY,The9 Ltd.,1 : 10
10/2/2023,EBET,Ebet Inc,1 : 30
10/2/2023,ARR,Armour Residential Reit Inc,1 : 5
10/2/2023,AKA,Aka Brands Holding Corp,1 : 12
10/1/2023,HMC,Honda Motor Co Ltd.,
9/29/2023,TOPS,Top Ships Inc,1 : 12
9/29/2023,FATH,Fathom Digital Manufacturing Corp,1 : 20
9/29/2023,CRIS,Curis Inc,1 : 20
9/28/2023,XWEL,Xwell Inc,1 : 20
9/28/2023,SYBX,Synlogic Inc,1 : 15
9/28/2023,SPRC,Scisparc Ltd.,1 : 26
9/28/2023,NVNI,Nvni Group Ltd.,1 : 6.87
9/27/2023,RBTC,Rubicon Technologies Inc,1 : 8
9/26/2023,VCNX,Vaccinex Inc,1 : 15
9/26/2023,FTK,Flotek Industries Inc,1 : 6
9/25/2023,YYAI,Connexa Sports Technologies Inc,1 : 40
9/25/2023,VINO,Gaucho Group Holdings Inc,1 : 10
9/25/2023,NGNE,Neurogene Inc,1 : 5
9/25/2023,FAMI,Farmmi Inc,1 : 8
9/25/2023,EJH,E-home Household Service Holdings Ltd.,1 : 10
9/22/2023,XTKG,X3 Holdings Co Ltd.,1 : 8
9/22/2023,PRPO,Precipio Inc,1 : 20
9/22/2023,NTRP,Nexttrip Inc,1 : 20
9/22/2023,CPTN,Cepton Inc,1 : 10
9/21/2023,SOND,Sonder Holdings Inc,1 : 20
9/21/2023,SMTK,Smartkem Inc,1 : 35
9/21/2023,PYPD,Polypid Ltd.,1 : 30
9/20/2023,SOGP,Sound Group Inc,1 : 10
9/20/2023,DATS,Datchat Inc,1 : 10
9/19/2023,AXLA,Axcella Health Inc,1 : 25
9/18/2023,PHXM,Phaxiam Therapeutics SA,1 : 10
9/18/2023,AYRO,Ayro Inc,1 : 8
9/18/2023,AEHL,Antelope Enterprise Holdings Ltd.,1 : 10
9/15/2023,KXIN,Kaixin Holdings,1 : 15
9/14/2023,ASTR,Astra Space Inc,1 : 15
9/13/2023,AVGR,Avinger Inc,1 : 15
9/12/2023,WETH,Wetouch Technology Inc,1 : 20
9/12/2023,LFLY,Leafly Holdings Inc,1 : 20
9/12/2023,DNTH,Dianthus Therapeutics Inc,1 : 16
9/12/2023,ASTI,Ascent Solar Technologies Inc,1 : 200
9/12/2023,AMPE,Ampio Pharmaceuticals Inc,1 : 20
9/11/2023,SLE,Super League Enterprise Inc,1 : 20
