Date,Symbol,Decision
07/05/2024,ALTAF,ROUNDING
07/03/2024,ASLN,FORGO
07/03/2024,MDRR,FORGO
07/01/2024,JDST,FORGO
07/01/2024,KORE,ROUNDING
07/01/2024,BURU,FORGO
06/28/2024,YYAI,ROUNDING
06/27/2024,RIGL,FORGO
06/26/2024,OMIC,ROUNDING
06/26/2024,STAF,ROUNDING
06/25/2024,CRKN,ROUNDING
06/25/2024,NKLA,FORGO
06/24/2024,CHMJF,ROUNDING
06/24/2024,SABA,FORGO
06/21/2024,TECX,ROUNDING
06/21/2024,QLI,ROUNDING
06/21/2024,AVRO,FORGO
